facility_id,facility_name,description,latitude,longitude,kml_category,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
11,Krushnanagar Ward office,"Address: Krushnanagar Ward Office, Near, Saijpur tower<br>Latitude: 23.0607525<br>Longitude:  72.63904619999994",23.0607525,72.63904619999994,Ward Office,POINT (72.63904619999994 23.0607525),8,1302513.0,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Saijpur Bogha,13
12,Saijpur,"Address: Urban Health Center, Bhargav Road, Saijpur Bogha, Ahmedabad, Gujarat<br>Latitude: 23.0617152<br>Longitude:  72.62786600000004",23.0617152,72.62786600000004,Ward Office,POINT (72.62786600000004 23.0617152),6,1302514.0,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",Kuber Nagar,14
13,Vasna,"Address: Near Swaminarayan school, Vasna <br>Latitude: 23.000582<br>Longitude: 72.550185",23.000582,72.550185,Ward Office,POINT (72.550185 23.000582),20,1302531.0,"Vasana, Ahmedabad (M.Corp.) Ward No. 31",Vasna,31
14,Paldi,Address: Paldi Ward office<br>Latitude: 23.0142474<br>Longitude:  72.56189700000004,23.0142474,72.56189700000004,Ward Office,POINT (72.56189700000004 23.0142474),21,1302530.0,"Paldi, Ahmedabad (M.Corp.) Ward No. 30",Paldi,30
15,Maktampura,"Address: Makampura office, Near Rehnuma Society, Vishala<br>Latitude: 22.994938<br>Longitude:  72.53297880000002",22.994938,72.53297880000002,Ward Office,POINT (72.53297880000002 22.994938),17,1302534.0,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",Maktampura,34
16,Bhaipura,"Address: Bhaipura, Hatkeshwar<br>Ahmedabad, Gujarat 380008<br>Latitude: 22.992365<br>Longitude: 72.6251",22.992365,72.6251,Ward Office,POINT (72.6251 22.992365),46,1302543.0,"Bhaipura Hatkeswar, Ahmedabad (M.Corp.) Ward No. 43",Bhaipura Hatkeshwar,43
17,Maninagar Master office,"Address: Near Maninagar Railway station , maninagar <br>Latitude: 22.999099<br>Longitude: 72.61031",22.999099,72.61031,Ward Office,POINT (72.61031 22.999099),33,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
18,Thaltej,"Address: Near Thaltej lake, Ahmedabad <br>Latitude: 23.050203<br>Longitude: 72.512842",23.050203,72.512842,Ward Office,POINT (72.512842 23.050203),1,1302508.0,"Thaltej, Ahmedabad (M.Corp.) Ward No. 8",Thaltej,8
19,Khohra Sub Zone Office,"Address: Sanatan Society Road , Khokhra , Ahmedabad - 380008 , Gujar<br>Latitude: 22.9987844<br>Longitude:  72.61791779999999",22.9987844,72.61791779999999,Ward Office,POINT (72.61791779999999 22.9987844),40,1302544.0,"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",Khokhra,44
20,Ghtalodiya,"Address: Opposite Preet Residency, Below Chanakypuri Bridge, Ghatlodiya 380061 <br>Latitude: 23.0714785<br>Longitude:  72.54242750000003",23.0714785,72.54242750000003,Ward Office,POINT (72.54242750000003 23.0714785),13,1302507.0,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",Ghatlodia,7
21,Ranip,"Address: Old Nagarpalika Bldg.,Opp. Mahesh Party Plot,Ahmedabad.-382470<br>Latitude: 23.079909<br>Longitude: 72.574228",23.079909,72.574228,Ward Office,POINT (72.574228 23.079909),26,1302505.0,"Ranip, Ahmedabad (M.Corp.) Ward No. 5",Ranip,5
22,Gota Ward Office,"Address: 9/10, Gota Gam Road, Gota, Ahmedabad, Gujarat 382481, India <br>Latitude: 23.098718<br>Longitude: 72.537268",23.098718,72.537268,Ward Office,POINT (72.537268 23.098718),12,1302501.0,"Gota, Ahmedabad (M.Corp.) Ward No. 1",Gota,1
23,Bodakdev Ward Office,"Address: Memnagar Road, Memnagar, Ahmedabad, Gujarat 380052, India<br>Latitude: 23.048554<br>Longitude: 72.539243",23.048554,72.539243,Ward Office,POINT (72.539243 23.048554),14,1302519.0,"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",Bodakdev,19
24,Sarkhej,"Address: Sarkhej Village Road, Sarkhej, Ahmedabad, Gujarat 380055, India<br>Latitude: 22.980873<br>Longitude: 72.502141",22.980873,72.502141,Ward Office,POINT (72.502141 22.980873),16,1302533.0,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",Sarkhej,33
25,Vejalpur,"Address: Jaltarang Society, 9B, Vejalpur Road, Jignasa Society, Vibhavari Society, Jivrajpark, Ahmedabad, Gujarat 380051, India<br>Latitude: 23.0039624<br>Longitude:  72.52326160000007",23.0039624,72.52326160000007,Ward Office,POINT (72.52326160000007 23.0039624),19,1302532.0,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 32",Vejalpur,32
26,Jodhpur,"Address: 10, Jodhpur Village, Jodhpur, Ahmedabad, Gujarat 380015, India<br>Latitude: 23.016724<br>Longitude: 72.520452",23.016724,72.520452,Ward Office,POINT (72.520452 23.016724),18,1302520.0,"Jodhpur, Ahmedabad (M.Corp.) Ward No. 20",Jodhpur,20
27,Stadium,"Address: 45, Somnath Road, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India<br>Latitude: 23.049202<br>Longitude:  72.56431599999996",23.049202,72.56431599999998,Ward Office,POINT (72.56431599999998 23.049202),25,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
28,New Wadaj,"Address: 32, New Wadaj Road, Bhimjipura, Nava Vadaj, Ahmedabad, Gujarat 380013, India<br>Latitude: 23.062522<br>Longitude: 72.565108",23.062522,72.565108,Ward Office,POINT (72.565108 23.062522),24,1302506.0,"Nava Vadaj, Ahmedabad (M.Corp.) Ward No. 6",New Wadaj,6
29,Sabarmati,"Address: AMTS Bus Stand, Dharm Nagar II, Sabarmati, Ahmedabad, Gujarat 380005, India<br>Latitude: 23.0742044<br>Longitude:  72.59247419999997",23.0742044,72.59247419999997,Ward Office,POINT (72.59247419999997 23.0742044),27,1302504.0,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",Sabarmati,4
30,Chandkheda,"Address: 1, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India<br>Latitude: 23.108351<br>Longitude:  72.59265600000003",23.108351,72.59265600000003,Ward Office,POINT (72.59265600000003 23.108351),15,1302503.0,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",Chandkheda,3
31,Dariyapur,"Address: 2649, Delhi Chakla, Dariyapur, Ahmedabad, Gujarat 380001, India<br>Latitude: 23.036437<br>Longitude:  72.59090800000001",23.036437,72.59090800000001,Ward Office,POINT (72.59090800000001 23.036437),30,1302521.0,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Dariyapur,21
32,Sardarnagar,"Address: 643, Shri Sadhujti L Vasvani Marg, Sindhi Ambawadi, Hansol, Ahmedabad, Gujarat 382475, India<br>Latitude: 23.08149<br>Longitude:  72.63217099999997",23.08149,72.63217099999997,Ward Office,POINT (72.63217099999997 23.08149),5,1302511.0,"Sardarnagar, Ahmedabad (M.Corp.) Ward No. 11",Sardar Nagar,11
33,Isanpur,"Address: Ramwadi-Anandwadi Road, Jay Krishna Society, Isanpur, Ahmedabad, Gujarat 380050, India<br>Latitude: 22.9806956<br>Longitude:  72.60234400000002",22.9806956,72.60234400000002,Ward Office,POINT (72.60234400000002 22.9806956),34,1302545.0,"Isanpur, Ahmedabad (M.Corp.) Ward No. 45",Isanpur,45
34,Indrapuri,"Address: CTM Flyover 2, Hatkeshwar, Ahmedabad, Gujarat 380008, India<br>Latitude: 22.989127<br>Longitude: 72.630652",22.989127,72.630652,Ward Office,POINT (72.630652 22.989127),38,1302542.0,"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",Indrapuri,42
35,Vatva,"Address: 16/17, Vatva, Ahmedabad, Gujarat 382440, India<br>Latitude: 22.952902<br>Longitude:  72.61703299999999",22.952902,72.61703299999999,Ward Office,POINT (72.61703299999999 22.952902),32,1302547.0,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",Vatva,47
36,Behrampura,"Address: Piplaj - Pirana Road, Calico Mills, Behrampura, Ahmedabad, Gujarat 380022, India<br>Latitude: 22.997042<br>Longitude: 72.574079",22.997042,72.574079,Ward Office,POINT (72.574079 22.997042),31,1302535.0,"Baherampura, Ahmedabad (M.Corp.) Ward No. 35",Baherampura,35
37,Rajpur,"Address: 11, Industrial Area, Rakhial, Ahmedabad, Gujarat 380021, India<br>Latitude: 23.017831<br>Longitude: 72.624324",23.017831,72.624324,Ward Office,POINT (72.624324 23.017831),45,1302538.0,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",Gomtipur,38
38,Amraivadi,"Address: Ajod Dairy Road, Amraiwadi, Ahmedabad, Gujarat 380021, India<br>Latitude: 23.008722<br>Longitude: 72.628711",23.008722,72.628711,Ward Office,POINT (72.628711 23.008722),35,1302539.0,"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",Amraiwadi,39
39,Bapunagar,"Address: 3, Taj Mohammad Khan Pathan Road, Soni ni chali, Virat Nagar, Rakhial, Ahmedabad, Gujarat 380024, India<br>Latitude: 23.025917<br>Longitude: 72.635723",23.025917,72.635723,Ward Office,POINT (72.635723 23.025917),3,1302526.0,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",Bapu Nagar,26
40,Vastral,"Address: 54, Ajay Tent No. 5 Road, Mahadev Nagar, Ahmedabad, Gujarat 382418, India<br>Latitude: 23.0002077<br>Longitude:  72.64621139999997",23.000207700000004,72.64621139999997,Ward Office,POINT (72.64621139999997 23.000207700000004),37,1302541.0,"Vastral, Ahmedabad (M.Corp.) Ward No. 41",Vastral,41
41,Odhav,"Address: 63/A, Rabadi Vasahat Road, G I D C Industrial Area, Odhav, Ahmedabad, Gujarat 382415, India<br>Latitude: 23.0240978<br>Longitude:  72.65000850000001",23.0240978,72.65000850000001,Ward Office,POINT (72.65000850000001 23.0240978),36,1302540.0,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",Odhav,40
42,Naroda,"Address: Gujarat State Highway 68, GIDC Naroda, Ahmedabad, Gujarat 382330, India<br>Latitude: 23.074913<br>Longitude: 72.655845",23.074913,72.655845,Ward Office,POINT (72.655845 23.074913),0,1302512.0,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",Naroda,12
43,Asarva,"Address: Jahangirpura, Asarwa, Ahmedabad, Gujarat 380016, India<br>Latitude: 23.0414554<br>Longitude:  72.601811",23.0414554,72.601811,Ward Office,POINT (72.601811 23.0414554),29,1302515.0,"Asarva, Ahmedabad (M.Corp.) Ward No. 15",Asarwa,15
44,SARASPUR,"Address: Saraspur Bal Bhavan, Nr, Maniben K.K. Eye Hospital,<br>Latitude: 23.029737<br>Longitude: 72.611924",23.029737,72.611924,Ward Office,POINT (72.611924 23.029737),9,1302527.0,"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",Saraspur-Rakhiyal,27
45,NARANPURA,"Address: Naranpura Ward Office, Nr.Kameshwar Mahadev Mandir, Naranpura,Ahmedabad<br>Latitude: 23.057469<br>Longitude: 72.556409",23.057469,72.556409,Ward Office,POINT (72.556409 23.057469),23,1302509.0,"Naranpura, Ahmedabad (M.Corp.) Ward No. 9",Naranpura,9
46,Shahpur Ward office,"Address: Dudheshwar Sub Zonal Office, Dudheshwar water works compound, Shahibaug, Ahmedabad<br>Latitude: 23.051609<br>Longitude: 72.583484",23.051609,72.583484,Ward Office,POINT (72.583484 23.051609),41,1302517.0,"Shapur, Ahmedabad (M.Corp.) Ward No. 17",Shahpur,17
47,CHANDLODIA,Address: Old Nagarpalika Office<br>Latitude: 23.080566<br>Longitude: 72.551097,23.080566,72.551097,Ward Office,POINT (72.551097 23.080566),11,1302502.0,"Chandlodiya, Ahmedabad (M.Corp.) Ward No. 2",Chandlodiya,2
48,North Zone,"Rajiv Gandhi Bhavan,Memco char rasta ,Naroda road",23.057114700000003,72.6334883,Zonal Office,POINT (72.6334883 23.057114700000003),8,1302513.0,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Saijpur Bogha,13
49,New West Zone,"Rajamata Vijaya Raje Scindia Bhavan, Judges Bungalow Road, Bodakdev, Ahmedabad.",23.039006,72.514347,Zonal Office,POINT (72.514347 23.039006),14,1302519.0,"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",Bodakdev,19
50,West zone,"Dr. Ramanbhai Patel Bhavan, Usmanpura Char Rasta, Ashram Road, Ahmedabad",23.047767,72.570012,Zonal Office,POINT (72.570012 23.047767),25,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
51,Central Zone,"Central Zone-Health Dept. <br>B Block, 5th Floor, Sardar Patel Bhavan, Danapith, khamasa, AMC.",23.021259,72.5859,Zonal Office,POINT (72.5859 23.021259),43,1302528.0,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Khadia,28
52,East Zone,Harubhai Mahetabhavan Viratnagar Char Rasta,23.026649,72.639183,Zonal Office,POINT (72.639183 23.026649),39,1302525.0,"Viratnagar, Ahmedabad (M.Corp.) Ward No. 25",Virat Nagar,25
53,South Zone,"Dr.Shyama Prasad Mukharji Bhavan, Opp.Maninagar Fire Station, Rambaug, Maninagar, Ahmedabad-08.",22.998122,72.603216,Zonal Office,POINT (72.603216 22.998122),33,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
54,Khokhra Vyayam shala,"Nearer to Khokhra Swimming pool,57-Khokhra ward,Ahmedabad",22.9987,72.616238,Municipal Gym,POINT (72.616238 22.9987),40,1302544.0,"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",Khokhra,44
55,Maninagar Vyayam shala,"Opposite to L.G Hospital,Maninagar,Ahmedabad",23.000651,72.606545,Municipal Gym,POINT (72.606545 23.000651),33,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
56,Ambubhai Purani Vyayam vidhyalaya,"In Kankariya Lake, Kankariya,Ahmedabad",23.008956,72.599178,Municipal Gym,POINT (72.599178 23.008956),33,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
57,Swami Vivekanand Vyayam Vidhyalaya,"C.T.M Cross Road,Bagefirdosh,Ahmedabad<br>New_Name-Bagefirdosh Vyayam Shala",22.991723,72.633436,Municipal Gym,POINT (72.633436 22.991723),38,1302542.0,"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",Indrapuri,42
58,"Isanpur Vyayam shala,isanpur","Opposite To Smruti Temple,Isanpur,Ahmedabad",22.975236,72.61033,Municipal Gym,POINT (72.61033 22.975236),34,1302545.0,"Isanpur, Ahmedabad (M.Corp.) Ward No. 45",Isanpur,45
59,Krantivir Mahadev Desai Vyayam Vidhyalaya,"Swastik Cross Road,Nr. Rabari Colony,Bhaipura,Ahmedabad<br>New Name- Bhaipura Vyayam Shala",23.007232,72.62947,Municipal Gym,POINT (72.62947 23.007232),38,1302542.0,"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",Indrapuri,42
60,Krantivir Chandrashekhar Aaazad Vyayam Vidhyalaya,"Opposite To Tejendra Park,Nikol,Ahmedabad<br>New Name-Nikol Vyayam Shala",23.029095,72.646766,Municipal Gym,POINT (72.646766 23.029095),39,1302525.0,"Viratnagar, Ahmedabad (M.Corp.) Ward No. 25",Virat Nagar,25
61,Krantivir Vithhalbhai Patel Vyayam Vidhyalaya,"Nearer To Gajanand Circle,Odhav,Ahmedabad<br>New name-Odhav Vyayam Shala",23.029486,72.653247,Municipal Gym,POINT (72.653247 23.029486),36,1302540.0,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",Odhav,40
62,Krantivir Sadarsinh Rana Vyayam Vidhyalaya,"In the Payal Nagar Park,Naroda Gam,Muthiya,Ahmedabad<br>New name-Naroda Muthiya Vyayam Shala",23.067594,72.651612,Municipal Gym,POINT (72.651612 23.067594),0,1302512.0,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",Naroda,12
63,Krantivir Kinnarivala Vyayam Shala,"Opposite to Saijpur Tower,Saijpur Bogha,Saijpur,Ahmedabad<br>New Name-Saijpur Bogha Vyayam Shala",23.060856,72.64021,Municipal Gym,POINT (72.64021 23.060856),8,1302513.0,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Saijpur Bogha,13
64,Memco Sports Center,veer savarkar vyaym shala,23.053378,72.632086,Municipal Gym,POINT (72.632086 23.053378),8,1302513.0,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Saijpur Bogha,13
65,Krantivir Chitranjandas Vyayam Vidhyalaya,"Opposite to Sachidanand Society,Limda Bus Stand Road,Kubernagar,Ahmedabad<br>New Name-Kubernagar Vyayam Shala",23.061065,72.629681,Municipal Gym,POINT (72.629681 23.061065),6,1302514.0,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",Kuber Nagar,14
66,Krantivir Mangalpandey Vyayam Vidhyalaya,"In Jethabhai Park,Oppo-Civil Hospital,Girdharnagar,Ahmedabad<br>New Name-Girdharnagar Vyayam Shala",23.049366,72.600763,Municipal Gym,POINT (72.600763 23.049366),28,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
67,Rajmata Vijayaraja Sindhiya Mahila Vyayam Vidhyalaya,"Nearer To Shahibag Post Office,Circuit House,Shahibag,Ahmedabad,<br>New Name- Shahibag Mahila Vyayam Shala",23.062216,72.595753,Municipal Gym,POINT (72.595753 23.062216),28,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
68,Krantivir Medam Kama Vyayam Vidhyalaya,"Nearer Hajipura Swimming Pool,Hajipura,Ahmedabad<br>New Name-Hajipura Vyayam Shala",23.042031,72.591156,Municipal Gym,POINT (72.591156 23.042031),28,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
69,Krantivir Sukhdev Vyayam Vidhyalaya,"Nearer Dariyapur Mustar Station,Opp- Kuti Masjid, Dariyapur,ahmedabad<br>New Name-Dariyapur Vyayam Shala",23.037135,72.591865,Municipal Gym,POINT (72.591865 23.037135),30,1302521.0,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Dariyapur,21
70,"Umakant Kadiya,Shahpur Vyayam Shala","Jivan KamalShi Ni Pol,Shahpur,Ahmedabad",23.039078,72.58148,Municipal Gym,POINT (72.58148 23.039078),30,1302521.0,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Dariyapur,21
71,Manikba Sanskar Vadi Vyayam Shala,"Kiran Nagar Dudheswar Road,Ahmedabad<br>New Name-Dudheshwar Vyayam Shala",23.04169,72.579645,Municipal Gym,POINT (72.579645 23.04169),41,1302517.0,"Shapur, Ahmedabad (M.Corp.) Ward No. 17",Shahpur,17
72,Sardar Patel Vyayam Vidhyalaya,"Nr Swimming Pool,Sardar Patel Stadium,Navrangpura,Ahmedabad",23.040069,72.564528,Municipal Gym,POINT (72.564528 23.040069),25,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
73,Cricketer Padamshree Jashubhai patel Vyayam Vidhyalaya,"Bhimjipura pumping Station,Swimming Pool,Vadaj,Ahmedabad<br>New Name-Nava Vadaj Vyayam Shala",23.063163,72.568102,Municipal Gym,POINT (72.568102 23.063163),25,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
74,Cricketer Vinu Mankad Vyayam Shala,"Nearer Nishant School,Swimming Pool,Nirnyan Nagar road, Ranip,Ahmedabad<br>New Name-Ranip Vyayam Shala",23.080322,72.56314,Municipal Gym,POINT (72.56314 23.080322),24,1302506.0,"Nava Vadaj, Ahmedabad (M.Corp.) Ward No. 6",New Wadaj,6
75,Krantivir Mahadev Govind Rnde Vyayam Vidhyalaya,"Nearer Kothari Tower Parking,Sabarmati,Ahmedabad<br>New name-Sabarmati Vyayam Shala",23.084176,72.584535,Municipal Gym,POINT (72.584535 23.084176),27,1302504.0,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",Sabarmati,4
76,Krantivir Bankimchandra Pal Vyayam Vidhyalaya,"Nearer City Civic Centre,Chandkheda Gam,Ahmedabad<br>New Name-Chandkheda Vyayam Shala",23.116104,72.584394,Municipal Gym,POINT (72.584394 23.116104),15,1302503.0,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",Chandkheda,3
77,Shree Makarchand Desai Vyayam Vidhyalaya,"Opposite Relience Fresh,AMC Garden,Bodakdev,Ahmedabad<br>New Name-Bodakdev Vyayam Shala",23.03965,72.520194,Municipal Gym,POINT (72.520194 23.03965),14,1302519.0,"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",Bodakdev,19
78,Krantivir Pandit Madanmohan Malviya Vyayam Vidhyalaya,"Under Shyama Prasad Bridge,Vejalpur,Ahmedabad<br>New Name-Vejalpur Vyayam Shala",23.010201,72.531543,Municipal Gym,POINT (72.531543 23.010201),18,1302520.0,"Jodhpur, Ahmedabad (M.Corp.) Ward No. 20",Jodhpur,20
79,Ghatlodiya Vyayam Shala,"Ghatlodiya,Ahmedabad",23.071903,72.542259,Municipal Gym,POINT (72.542259 23.071903),13,1302507.0,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",Ghatlodia,7
80,Swatantra Vir Savarkar Vyayam Vidhyalaya,"City Civic Center,Vasna,Ahmedabad<br>New Name-Vasna Vyayam Shala",23.004469,72.549783,Municipal Gym,POINT (72.549783 23.004469),20,1302531.0,"Vasana, Ahmedabad (M.Corp.) Ward No. 31",Vasna,31
81,Sardar bridge Vyayam Shala,"Behind jamalpur Vegetable Market,Sardar Bridge Health Quaters,Jamalpur,Ahmedabad,<br>New Name-Sardar Bridge Vyayam Shala",23.010842,72.578834,Municipal Gym,POINT (72.578834 23.010842),42,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
82,Raykhad Vyayam Vidhyalaya,"Near Gayakvad HAveli Road,Raykhad,Ahmedabad",23.013929,72.57884600000001,Municipal Gym,POINT (72.57884600000001 23.013929),42,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
83,Krantivir Asraf Ullakhan Vyayam Vidhyalaya,"Sodagar Ni Pol,Jamalpur Darwaja,Jamalpur,Ahmedabad<br>New Name-Jamalpur Vyayam Shala",23.013873,72.579516,Municipal Gym,POINT (72.579516 23.013873),42,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
84,Sarashpur Vyayam Shala,"Nearer Balbhavan,Saraspur Muster,Saraspur,Ahmedabad",23.029609,72.611695,Municipal Gym,POINT (72.611695 23.029609),9,1302527.0,"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",Saraspur-Rakhiyal,27
85,Krantivir Raja Rammohanray Vyayam Vidhyalaya,"Parimal Garden,Panchvati,Ahmedabad<br>New Name-Parimal Garden Vyayam Shala",23.020814,72.556864,Municipal Gym,POINT (72.556864 23.020814),22,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
86,Veer Chandrashekhar Aazad Vyayam Shala,"Opposite IDBI Bank,Municipal Staff Quaters,Lal Bunglow,Ellisbridge,ahmedabad<br>New Name-Ellisbridge Vyayam Shala",23.029757,72.555286,Municipal Gym,POINT (72.555286 23.029757),22,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
87,Krantivir Tatya Tope Vyayam Vidhyalaya,"Opposite Calico dom Relief Road,Kalupur,ahmedabad<br>New Name-Kalupur Vyayam Shala",23.02859,72.591609,Municipal Gym,POINT (72.591609 23.02859),30,1302521.0,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Dariyapur,21
88,Sardar Patel Vyayam Vidhyalaya,"Zupadi Ni Pol Sankadi Sheri,Khadiya,Ahmedabad<br>New Name-Sardar Patel Vyayam Shala",23.023445,72.589936,Municipal Gym,POINT (72.589936 23.023445),43,1302528.0,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Khadia,28
89,Krantivir Ishvarchandra Vidhyasagar Vyayam Vidhyalaya,"Opposite To Post Office,Kunda Vadi Chali,Gomtipur,Ahmedabad<br>New Name-Gomtipur Vyayam Shala",23.012583,72.609527,Municipal Gym,POINT (72.609527 23.012583),35,1302539.0,"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",Amraiwadi,39
